iter	Passed	Remaining
399	49194	12298
400	49263	12162
401	49316	12022
402	49373	11884
403	49433	11746
404	49489	11608
405	49547	11471
406	49597	11333
407	49651	11195
408	49713	11060
409	49773	10925
410	49830	10790
411	49890	10656
412	49945	10521
413	49997	10386
414	50055	10252
415	50110	10118
416	50161	9984
417	50217	9851
418	50274	9718
419	50331	9586
420	50377	9453
421	50429	9321
422	50474	9188
423	50518	9055
424	50563	8923
425	50622	8793
426	50663	8661
427	50705	8529
428	50748	8398
429	50791	8268
430	50837	8138
431	50880	8008
432	50925	7879
433	50964	7750
434	51007	7621
435	51048	7493
436	51088	7365
437	51127	7237
438	51168	7109
439	51208	6983
440	51251	6856
441	51296	6731
442	51337	6605
443	51385	6481
444	51431	6356
445	51479	6232
446	51531	6109
447	51579	5986
448	51631	5864
449	51681	5742
450	51729	5620
451	51782	5499
452	51832	5377
453	51880	5256
454	51929	5135
455	51976	5015
456	52021	4894
457	52073	4775
458	52120	4655
459	52167	4536
460	52214	4417
461	52257	4298
462	52305	4179
463	52359	4062
464	52413	3945
465	52462	3827
466	52512	3710
467	52557	3593
468	52606	3477
469	52653	3360
470	52702	3244
471	52749	3129
472	52799	3013
473	52848	2898
474	52895	2783
475	52944	2669
476	52992	2555
477	53043	2441
478	53083	2327
479	53126	2213
480	53165	2100
481	53204	1986
482	53244	1874
483	53283	1761
484	53326	1649
485	53364	1537
486	53404	1425
487	53444	1314
488	53484	1203
489	53523	1092
490	53564	981
491	53608	871
492	53651	761
493	53694	652
494	53736	542
495	53776	433
496	53815	324
497	53863	216
498	53920	108
499	53971	0
8
499	64158	0

8	87883	176
499	88045	0
